county,date,time,type,mag,dth,inj,prd,crd
KINGS (BROOKLYN) (ZONE),01/03/2010,    08:00,Strong Wind,41  kts. EG,0,0,5.00K,0.00K
BRONX (ZONE),01/25/2010,    06:00,Strong Wind,48  kts. EG,0,1,1.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),01/25/2010,    06:00,Strong Wind,48  kts. EG,0,0,25.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),02/09/2010,    21:00,Heavy Snow,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),02/09/2010,    22:00,Heavy Snow,,0,0,0.00K,0.00K
BRONX (ZONE),02/09/2010,    22:00,Heavy Snow,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),02/09/2010,    22:00,Heavy Snow,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),02/25/2010,    07:00,Heavy Snow,,1,0,0.00K,0.00K
BRONX (ZONE),02/25/2010,    07:00,Heavy Snow,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),02/25/2010,    10:00,Heavy Snow,,0,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),02/25/2010,    10:00,Heavy Snow,,0,0,0.00K,0.00K
NEW YORK CO.,03/13/2010,    00:00,Heavy Rain,,0,0,0.00K,0.00K
QUEENS CO.,03/13/2010,    00:00,Heavy Rain,,0,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),03/13/2010,    16:00,High Wind,50  kts. EG,0,0,100.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),03/13/2010,    17:12,Coastal Flood,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),03/13/2010,    17:12,Coastal Flood,,0,0,0.00K,0.00K
NEW YORK (MANHATTAN) (ZONE),03/13/2010,    17:36,Coastal Flood,,0,0,0.00K,0.00K
RICHMOND (STATEN IS.) (ZONE),03/13/2010,    18:45,High Surf,,0,0,0.00K,0.00K
BRONX (ZONE),03/13/2010,    20:24,Coastal Flood,,0,0,0.00K,0.00K
KINGS (BROOKLYN) (ZONE),03/13/2010,    21:00,High Wind,56  kts. EG,0,0,100.00K,0.00K
QUEENS CO.,03/28/2010,    18:00,Heavy Rain,,0,0,0.00K,0.00K
NEW YORK CO.,03/28/2010,    18:00,Heavy Rain,,0,0,0.00K,0.00K
BRONX CO.,03/30/2010,    06:19,Heavy Rain,,0,0,0.00K,0.00K
QUEENS CO.,03/30/2010,    09:35,Flood,,0,0,0.00K,0.00K
QUEENS CO.,06/24/2010,    13:39,Thunderstorm Wind,54  kts. MG,0,0,0.00K,0.00K
BRONX CO.,06/24/2010,    13:42,Thunderstorm Wind,61  kts. EG,0,0,7.50K,0.00K
QUEENS CO.,06/24/2010,    13:44,Hail,1.75  in.,0,0,2.00K,0.00K
QUEENS CO.,06/24/2010,    13:45,Thunderstorm Wind,70  kts. EG,0,0,100.00K,0.00K
