Date,DP_avg,DP_high,DP_low,Day,H_avg,H_high,H_low,P_avg,P_high,P_low,R_sum,T_avg,T_high,T_low,V_avg,V_high,V_low,W_avg,W_high,W_low,event,Month,Year,Date
2012-01-01,40.0,46.0,37.0,1,71.0,82.0,59.0,29.93,30.12,29.68,0.05,47.0,52.0,41.0,10.0,10.0,6.0,15.0,22.0,6.0,Rain,Jan,2012,2012-01-01
2012-01-02,20.0,40.0,15.0,2,56.0,74.0,37.0,29.75,29.82,29.68,0.0,42.0,50.0,33.0,10.0,10.0,10.0,25.0,32.0,10.0,	,Jan,2012,2012-01-02
2012-01-03,8.0,21.0,-1.0,3,54.0,69.0,38.0,29.94,30.14,29.81,0.0,24.0,33.0,15.0,10.0,10.0,10.0,20.0,30.0,11.0,	,Jan,2012,2012-01-03
2012-01-04,4.0,13.0,-3.0,4,47.0,61.0,32.0,30.11,30.23,29.97,0.0,20.0,27.0,13.0,10.0,10.0,10.0,16.0,22.0,8.0,	,Jan,2012,2012-01-04
2012-01-05,17.0,22.0,13.0,5,50.0,56.0,44.0,29.91,29.97,29.84,0.0,34.0,40.0,27.0,10.0,10.0,10.0,16.0,22.0,6.0,	,Jan,2012,2012-01-05
2012-01-06,27.0,30.0,22.0,6,51.0,64.0,38.0,29.83,29.95,29.74,0.0,44.0,53.0,35.0,10.0,10.0,8.0,14.0,22.0,7.0,	,Jan,2012,2012-01-06
2012-01-07,31.0,37.0,26.0,7,43.0,53.0,33.0,29.8,29.98,29.71,0.0,54.0,62.0,46.0,10.0,10.0,10.0,15.0,23.0,7.0,	,Jan,2012,2012-01-07
2012-01-08,22.0,26.0,15.0,8,48.0,53.0,43.0,30.19,30.32,30.0,0.0,40.0,46.0,33.0,10.0,10.0,10.0,16.0,24.0,8.0,	,Jan,2012,2012-01-08
2012-01-09,19.0,28.0,15.0,9,52.0,70.0,34.0,30.21,30.32,29.99,0.0,36.0,41.0,31.0,10.0,10.0,10.0,14.0,20.0,4.0,	,Jan,2012,2012-01-09
2012-01-10,25.0,27.0,20.0,10,60.0,75.0,45.0,29.93,30.0,29.86,0.0,40.0,47.0,33.0,9.0,10.0,6.0,14.0,18.0,7.0,	,Jan,2012,2012-01-10
2012-01-11,30.0,38.0,25.0,11,58.0,70.0,45.0,30.01,30.1,29.83,0.07,43.0,48.0,37.0,10.0,10.0,4.0,14.0,20.0,6.0,Rain,Jan,2012,2012-01-11
2012-01-12,42.0,45.0,39.0,12,93.0,100.0,86.0,29.55,29.83,29.44,1.38,43.0,45.0,41.0,4.0,10.0,1.0,30.0,40.0,9.0,Rain,Jan,2012,2012-01-12
2012-01-13,31.0,46.0,11.0,13,73.0,100.0,46.0,29.49,29.81,29.25,0.09,39.0,50.0,28.0,7.0,10.0,1.0,25.0,36.0,11.0,Rain,Jan,2012,2012-01-13
2012-01-14,15.0,17.0,10.0,14,52.0,58.0,45.0,29.95,30.09,29.82,,30.0,32.0,27.0,10.0,10.0,10.0,17.0,25.0,9.0,	,Jan,2012,2012-01-14
2012-01-15,-1.0,10.0,-6.0,15,42.0,54.0,30.0,30.45,30.58,30.32,0.0,21.0,27.0,15.0,10.0,10.0,10.0,17.0,25.0,9.0,	,Jan,2012,2012-01-15
2012-01-16,11.0,30.0,0.0,16,57.0,75.0,39.0,30.45,30.62,30.16,0.04,26.0,37.0,15.0,10.0,10.0,4.0,17.0,26.0,5.0,"Rain	,Snow",Jan,2012,2012-01-16
2012-01-17,38.0,46.0,29.0,17,85.0,93.0,77.0,,,,0.19,45.0,53.0,36.0,8.0,10.0,2.0,17.0,26.0,8.0,Rain,Jan,2012,2012-01-17
2012-01-18,18.0,46.0,8.0,18,56.0,77.0,35.0,30.05,30.18,29.91,0.0,39.0,54.0,24.0,10.0,10.0,10.0,22.0,35.0,10.0,	,Jan,2012,2012-01-18
2012-01-19,14.0,24.0,3.0,19,57.0,69.0,44.0,30.12,30.26,29.94,0.0,29.0,37.0,20.0,10.0,10.0,10.0,16.0,24.0,7.0,	,Jan,2012,2012-01-19
2012-01-20,10.0,23.0,3.0,20,47.0,63.0,31.0,30.16,30.29,29.94,0.0,30.0,36.0,24.0,10.0,10.0,10.0,18.0,24.0,7.0,	,Jan,2012,2012-01-20
2012-01-21,20.0,23.0,10.0,21,67.0,88.0,46.0,30.11,30.31,29.98,0.39,26.0,29.0,22.0,4.0,10.0,0.0,17.0,24.0,10.0,"Fog	,Snow",Jan,2012,2012-01-21
2012-01-22,19.0,28.0,9.0,22,72.0,82.0,62.0,30.48,30.54,30.41,0.0,26.0,34.0,18.0,10.0,10.0,10.0,16.0,22.0,8.0,	,Jan,2012,2012-01-22
2012-01-23,41.0,51.0,28.0,23,91.0,100.0,82.0,30.13,30.43,29.89,0.37,44.0,53.0,34.0,4.0,10.0,0.0,17.0,28.0,7.0,"Fog	,Rain",Jan,2012,2012-01-23
2012-01-24,39.0,49.0,30.0,24,73.0,92.0,53.0,30.0,30.12,29.89,0.0,48.0,53.0,42.0,9.0,10.0,7.0,14.0,22.0,8.0,	,Jan,2012,2012-01-24
2012-01-25,25.0,28.0,24.0,25,54.0,59.0,49.0,30.24,30.3,30.22,0.0,40.0,44.0,36.0,10.0,10.0,10.0,16.0,25.0,7.0,	,Jan,2012,2012-01-25
2012-01-26,32.0,39.0,24.0,26,80.0,100.0,59.0,30.08,30.25,29.83,0.18,37.0,40.0,33.0,6.0,10.0,2.0,13.0,17.0,4.0,"Rain	,Snow",Jan,2012,2012-01-26
2012-01-27,46.0,57.0,29.0,27,77.0,100.0,53.0,29.58,29.85,29.34,0.47,50.0,59.0,40.0,5.0,10.0,0.0,25.0,36.0,8.0,"Fog	,Rain",Jan,2012,2012-01-27
2012-01-28,25.0,27.0,23.0,28,53.0,57.0,49.0,29.96,30.04,29.86,0.0,40.0,44.0,37.0,10.0,10.0,10.0,17.0,26.0,10.0,	,Jan,2012,2012-01-28
2012-01-29,,,,29,,,,,,,0.0,,,,,,,,,,	,Jan,2012,2012-01-29
2012-01-30,,,,30,,,,,,,,,,,,,,,,,	,Jan,2012,2012-01-30
2012-01-31,30.0,31.0,30.0,31,39.0,41.0,37.0,30.04,30.05,30.02,0.0,54.0,55.0,54.0,10.0,10.0,10.0,13.0,18.0,9.0,	,Jan,2012,2012-01-31
